,CH1,CH2
Second,Volt,Volt
-3.00000e+00,1.40e-01,1.40e-01, 
-2.99000e+00,1.40e-01,1.40e-01, 
-2.98000e+00,1.40e-01,1.40e-01, 
-2.97000e+00,1.40e-01,1.40e-01, 
-2.96000e+00,1.40e-01,1.40e-01, 
-2.95000e+00,-2.40e-01,-2.20e-01, 
-2.94000e+00,-5.20e-01,-5.20e-01, 
-2.93000e+00,-8.00e-01,-8.00e-01, 
-2.92000e+00,-9.20e-01,-9.40e-01, 
-2.91000e+00,-9.80e-01,-1.00e+00, 
-2.90000e+00,-9.60e-01,-1.00e+00, 
-2.89000e+00,-6.00e-01,-7.00e-01, 
-2.88000e+00,-6.20e-01,-6.80e-01, 
-2.87000e+00,-3.00e-01,-3.60e-01, 
-2.86000e+00,4.00e-02,-6.00e-02, 
-2.85000e+00,4.00e-01,3.00e-01, 
-2.84000e+00,4.20e-01,3.20e-01, 
-2.83000e+00,9.00e-01,8.00e-01, 
-2.82000e+00,9.00e-01,8.20e-01, 
-2.81000e+00,1.00e+00,9.20e-01, 
-2.80000e+00,9.40e-01,8.80e-01, 
-2.79000e+00,7.60e-01,7.40e-01, 
-2.78000e+00,5.40e-01,5.00e-01, 
-2.77000e+00,2.00e-01,1.80e-01, 
-2.76000e+00,1.60e-01,1.60e-01, 
-2.75000e+00,-1.80e-01,-2.00e-01, 
-2.74000e+00,-5.20e-01,-5.20e-01, 
-2.73000e+00,-8.00e-01,-8.00e-01, 
-2.72000e+00,-9.40e-01,-9.40e-01, 
-2.71000e+00,-9.60e-01,-1.00e+00, 
-2.70000e+00,-9.60e-01,-1.00e+00, 
-2.69000e+00,-6.40e-01,-7.20e-01, 
-2.68000e+00,-6.40e-01,-7.00e-01, 
-2.67000e+00,-3.20e-01,-4.20e-01, 
-2.66000e+00,2.00e-02,-8.00e-02, 
-2.65000e+00,4.00e-01,2.80e-01, 
-2.64000e+00,6.60e-01,5.60e-01, 
-2.63000e+00,9.00e-01,7.80e-01, 
-2.62000e+00,9.00e-01,8.00e-01, 
-2.61000e+00,1.00e+00,9.20e-01, 
-2.60000e+00,9.60e-01,9.20e-01, 
-2.59000e+00,7.60e-01,7.40e-01, 
-2.58000e+00,5.40e-01,5.20e-01, 
-2.57000e+00,2.20e-01,2.00e-01, 
-2.56000e+00,2.00e-01,1.80e-01, 
-2.55000e+00,-4.80e-01,-4.80e-01, 
-2.54000e+00,-5.20e-01,-5.20e-01, 
-2.53000e+00,-7.60e-01,-7.80e-01, 
-2.52000e+00,-9.20e-01,-9.40e-01, 
-2.51000e+00,-9.60e-01,-1.00e+00, 
-2.50000e+00,-9.60e-01,-9.80e-01, 
-2.49000e+00,-6.60e-01,-7.20e-01, 
-2.48000e+00,-6.40e-01,-7.20e-01, 
-2.47000e+00,-3.40e-01,-4.40e-01, 
-2.46000e+00,0.00e+00,-1.00e-01, 
-2.45000e+00,3.80e-01,2.80e-01, 
-2.44000e+00,6.60e-01,5.60e-01, 
-2.43000e+00,8.80e-01,7.80e-01, 
-2.42000e+00,8.80e-01,7.80e-01, 
-2.41000e+00,9.80e-01,9.20e-01, 
-2.40000e+00,9.80e-01,9.00e-01, 
-2.39000e+00,8.00e-01,7.60e-01, 
-2.38000e+00,5.40e-01,5.40e-01, 
-2.37000e+00,2.40e-01,2.20e-01, 
-2.36000e+00,2.00e-01,2.00e-01, 
-2.35000e+00,-4.60e-01,-4.60e-01, 
-2.34000e+00,-5.00e-01,-5.00e-01, 
-2.33000e+00,-7.40e-01,-7.40e-01, 
-2.32000e+00,-9.00e-01,-9.20e-01, 
-2.31000e+00,-9.60e-01,-1.00e+00, 
-2.30000e+00,-8.80e-01,-9.20e-01, 
-2.29000e+00,-6.80e-01,-7.40e-01, 
-2.28000e+00,-6.60e-01,-7.20e-01, 
-2.27000e+00,-3.40e-01,-4.40e-01, 
-2.26000e+00,-2.00e-02,-1.40e-01, 
-2.25000e+00,3.60e-01,2.40e-01, 
-2.24000e+00,6.40e-01,5.20e-01, 
-2.23000e+00,8.60e-01,7.80e-01, 
-2.22000e+00,8.80e-01,7.80e-01, 
-2.21000e+00,1.00e+00,9.20e-01, 
-2.20000e+00,9.80e-01,9.00e-01, 
-2.19000e+00,8.00e-01,7.60e-01, 
-2.18000e+00,5.80e-01,5.60e-01, 
-2.17000e+00,2.60e-01,2.60e-01, 
-2.16000e+00,2.40e-01,2.20e-01, 
-2.15000e+00,-4.60e-01,-4.40e-01, 
-2.14000e+00,-4.60e-01,-4.60e-01, 
-2.13000e+00,-7.40e-01,-7.40e-01, 
