5/2/2015
1:14:46 PM

0, CH+=0, CH-=199, Range=+/-10, y=a*26.8643-68.1-.131533
1, CH+=1, CH-=199, Range=+/-10, y=b*1318.19-1319.239
2, CH+=2, CH-=199, Range=+/-10, y=c
3, CH+=3, CH-=199, Range=+/-10, y=d


Time	v0	v1	v2	v3	y0	y1	y2	y3
0.000000	2.539859	2.286971	1.406979	2.492675	0.000000	1695.423166	1.406979	2.492675
0.000333	2.544928	2.276844	1.396835	2.477476	0.136175	1682.073816	1.396835	2.477476
0.000667	2.524652	2.292034	1.396835	2.502807	-0.408523	1702.097841	1.396835	2.502807
0.001000	2.544928	2.286971	1.412051	2.502807	0.136175	1695.423166	1.412051	2.502807
0.001333	2.544928	2.297098	1.391763	2.492675	0.136175	1708.772516	1.391763	2.492675
0.001667	2.549997	2.286971	1.386691	2.467343	0.272349	1695.423166	1.386691	2.467343
0.002000	2.539859	2.302161	1.401907	2.467343	0.000000	1715.447191	1.401907	2.467343
0.002333	2.509445	2.281907	1.396835	2.477476	-0.817047	1688.748491	1.396835	2.477476
0.002667	2.509445	2.281907	1.406979	2.492675	-0.817047	1688.748491	1.406979	2.492675
0.003000	2.514514	2.292034	1.406979	2.492675	-0.680872	1702.097841	1.406979	2.492675
0.003333	2.524652	2.281907	1.401907	2.492675	-0.408523	1688.748491	1.401907	2.492675
0.003667	2.555066	2.286971	1.406979	2.497741	0.408524	1695.423166	1.406979	2.497741
0.004000	2.539859	2.292034	1.396835	2.467343	0.000000	1702.097841	1.396835	2.467343
0.004333	2.519583	2.292034	1.401907	2.492675	-0.544698	1702.097841	1.401907	2.492675
0.004667	2.524652	2.286971	1.396835	2.512940	-0.408523	1695.423166	1.396835	2.512940
0.005000	2.544928	2.276844	1.396835	2.497741	0.136175	1682.073816	1.396835	2.497741
0.005333	2.539859	2.281907	1.376548	2.487608	0.000000	1688.748491	1.376548	2.487608
0.005667	2.549997	2.286971	1.381620	2.477476	0.272349	1695.423166	1.381620	2.477476
0.006000	2.534790	2.292034	1.412051	2.472409	-0.136174	1702.097841	1.412051	2.472409
0.006333	2.524652	2.281907	1.406979	2.477476	-0.408523	1688.748491	1.406979	2.477476
0.006667	2.534790	2.286971	1.386691	2.492675	-0.136174	1695.423166	1.386691	2.492675
0.007000	2.504376	2.286971	1.406979	2.507873	-0.953221	1695.423166	1.406979	2.507873
0.007333	2.514514	2.292034	1.396835	2.497741	-0.680872	1702.097841	1.396835	2.497741
0.007667	2.539859	2.292034	1.386691	2.462277	0.000000	1702.097841	1.386691	2.462277
0.008000	2.529721	2.292034	1.406979	2.487608	-0.272349	1702.097841	1.406979	2.487608
0.008333	2.524652	2.297098	1.412051	2.492675	-0.408523	1708.772516	1.412051	2.492675
0.008667	2.519583	2.286971	1.401907	2.502807	-0.544698	1695.423166	1.401907	2.502807
0.009000	2.544928	2.297098	1.401907	2.507873	0.136175	1708.772516	1.401907	2.507873
0.009333	2.539859	2.302161	1.396835	2.487608	0.000000	1715.447191	1.396835	2.487608
0.009667	2.544928	2.297098	1.396835	2.482542	0.136175	1708.772516	1.396835	2.482542
0.010000	2.534790	2.297098	1.406979	2.477476	-0.136174	1708.772516	1.406979	2.477476
