5/2/2015
1:36:59 PM

0, CH+=0, CH-=199, Range=+/-10, y=a*26.8643-68.1-.131533
1, CH+=1, CH-=199, Range=+/-10, y=b*1318.19-1319.239
2, CH+=2, CH-=199, Range=+/-10, y=c
3, CH+=3, CH-=199, Range=+/-10, y=d


Time	v0	v1	v2	v3	y0	y1	y2	y3
0.000000	2.544928	1.800873	1.401907	2.507873	0.136175	1054.654361	1.401907	2.507873
0.000333	2.549997	1.785683	1.406979	2.482542	0.272349	1034.630336	1.406979	2.482542
0.000667	2.534790	1.800873	1.401907	2.477476	-0.136174	1054.654361	1.401907	2.477476
0.001000	2.534790	1.800873	1.406979	2.482542	-0.136174	1054.654361	1.406979	2.482542
0.001333	2.524652	1.795810	1.396835	2.512940	-0.408523	1047.979686	1.396835	2.512940
0.001667	2.529721	1.805937	1.396835	2.512940	-0.272349	1061.329036	1.396835	2.512940
0.002000	2.544928	1.811000	1.406979	2.533205	0.136175	1068.003711	1.406979	2.533205
0.002333	2.524652	1.805937	1.401907	2.492675	-0.408523	1061.329036	1.401907	2.492675
0.002667	2.560135	1.811000	1.401907	2.492675	0.544698	1068.003711	1.401907	2.492675
0.003000	2.544928	1.805937	1.396835	2.502807	0.136175	1061.329036	1.396835	2.502807
0.003333	2.539859	1.800873	1.401907	2.477476	0.000000	1054.654361	1.401907	2.477476
0.003667	2.514514	1.805937	1.396835	2.507873	-0.680872	1061.329036	1.396835	2.507873
0.004000	2.549997	1.800873	1.412051	2.502807	0.272349	1054.654361	1.412051	2.502807
0.004333	2.534790	1.816064	1.401907	2.487608	-0.136174	1074.678387	1.401907	2.487608
0.004667	2.549997	1.795810	1.391763	2.487608	0.272349	1047.979686	1.391763	2.487608
0.005000	2.534790	1.800873	1.391763	2.477476	-0.136174	1054.654361	1.391763	2.477476
0.005333	2.529721	1.790746	1.386691	2.467343	-0.272349	1041.305011	1.386691	2.467343
0.005667	2.529721	1.800873	1.401907	2.482542	-0.272349	1054.654361	1.401907	2.482542
0.006000	2.519583	1.790746	1.396835	2.492675	-0.544698	1041.305011	1.396835	2.492675
0.006333	2.519583	1.805937	1.396835	2.502807	-0.544698	1061.329036	1.396835	2.502807
0.006667	2.534790	1.790746	1.386691	2.512940	-0.136174	1041.305011	1.386691	2.512940
0.007000	2.565204	1.800873	1.396835	2.497741	0.680873	1054.654361	1.396835	2.497741
0.007333	2.534790	1.795810	1.401907	2.502807	-0.136174	1047.979686	1.401907	2.502807
0.007667	2.519583	1.800873	1.391763	2.507873	-0.544698	1054.654361	1.391763	2.507873
0.008000	2.544928	1.795810	1.396835	2.492675	0.136175	1047.979686	1.396835	2.492675
0.008333	2.555066	1.805937	1.391763	2.497741	0.408524	1061.329036	1.391763	2.497741
0.008667	2.549997	1.805937	1.401907	2.497741	0.272349	1061.329036	1.401907	2.497741
0.009000	2.539859	1.805937	1.406979	2.487608	0.000000	1061.329036	1.406979	2.487608
0.009333	2.529721	1.795810	1.401907	2.477476	-0.272349	1047.979686	1.401907	2.477476
0.009667	2.529721	1.800873	1.401907	2.477476	-0.272349	1054.654361	1.401907	2.477476
0.010000	2.519583	1.800873	1.386691	2.487608	-0.544698	1054.654361	1.386691	2.487608
0.010333	2.519583	1.800873	1.412051	2.507873	-0.544698	1054.654361	1.412051	2.507873
0.010667	2.519583	1.800873	1.406979	2.512940	-0.544698	1054.654361	1.406979	2.512940
0.011000	2.524652	1.805937	1.412051	2.467343	-0.408523	1061.329036	1.412051	2.467343
0.011333	2.524652	1.805937	1.386691	2.472409	-0.408523	1061.329036	1.386691	2.472409
0.011667	2.519583	1.805937	1.401907	2.492675	-0.544698	1061.329036	1.401907	2.492675
0.012000	2.504376	1.805937	1.401907	2.492675	-0.953221	1061.329036	1.401907	2.492675
0.012333	2.529721	1.800873	1.401907	2.492675	-0.272349	1054.654361	1.401907	2.492675
0.012667	2.539859	1.795810	1.381620	2.512940	0.000000	1047.979686	1.381620	2.512940
