5/2/2015
1:32:53 PM

0, CH+=0, CH-=199, Range=+/-10, y=a*26.8643-68.1-.131533
1, CH+=1, CH-=199, Range=+/-10, y=b*1318.19-1319.239
2, CH+=2, CH-=199, Range=+/-10, y=c
3, CH+=3, CH-=199, Range=+/-10, y=d


Time	v0	v1	v2	v3	y0	y1	y2	y3
0.000000	2.534790	2.367987	1.406979	2.467343	-0.136174	1802.217966	1.406979	2.467343
0.000333	2.529721	2.357860	1.401907	2.462277	-0.272349	1788.868616	1.401907	2.462277
0.000667	2.524652	2.352797	1.376548	2.467343	-0.408523	1782.193941	1.376548	2.467343
0.001000	2.524652	2.342670	1.401907	2.487608	-0.408523	1768.844591	1.401907	2.487608
0.001333	2.534790	2.362924	1.401907	2.487608	-0.136174	1795.543291	1.401907	2.487608
0.001667	2.529721	2.367987	1.391763	2.477476	-0.272349	1802.217966	1.391763	2.477476
0.002000	2.529721	2.347733	1.396835	2.482542	-0.272349	1775.519266	1.396835	2.482542
0.002333	2.519583	2.352797	1.386691	2.492675	-0.544698	1782.193941	1.386691	2.492675
0.002667	2.514514	2.342670	1.412051	2.502807	-0.680872	1768.844591	1.412051	2.502807
0.003000	2.519583	2.347733	1.406979	2.518006	-0.544698	1775.519266	1.406979	2.518006
0.003333	2.544928	2.337606	1.406979	2.507873	0.136175	1762.169916	1.406979	2.507873
0.003667	2.539859	2.367987	1.406979	2.502807	0.000000	1802.217966	1.406979	2.502807
0.004000	2.524652	2.342670	1.406979	2.487608	-0.408523	1768.844591	1.406979	2.487608
0.004333	2.524652	2.342670	1.401907	2.477476	-0.408523	1768.844591	1.401907	2.477476
0.004667	2.519583	2.362924	1.412051	2.477476	-0.544698	1795.543291	1.412051	2.477476
0.005000	2.494238	2.332543	1.396835	2.518006	-1.225570	1755.495241	1.396835	2.518006
0.005333	2.555066	2.352797	1.406979	2.492675	0.408524	1782.193941	1.406979	2.492675
0.005667	2.539859	2.347733	1.401907	2.492675	0.000000	1775.519266	1.401907	2.492675
0.006000	2.524652	2.347733	1.406979	2.462277	-0.408523	1775.519266	1.406979	2.462277
0.006333	2.514514	2.342670	1.406979	2.482542	-0.680872	1768.844591	1.406979	2.482542
0.006667	2.514514	2.342670	1.406979	2.502807	-0.680872	1768.844591	1.406979	2.502807
0.007000	2.504376	2.347733	1.406979	2.512940	-0.953221	1775.519266	1.406979	2.512940
0.007333	2.519583	2.367987	1.401907	2.518006	-0.544698	1802.217966	1.401907	2.518006
0.007667	2.539859	2.357860	1.406979	2.487608	0.000000	1788.868616	1.406979	2.487608
0.008000	2.560135	2.352797	1.396835	2.482542	0.544698	1782.193941	1.396835	2.482542
0.008333	2.549997	2.347733	1.401907	2.492675	0.272349	1775.519266	1.401907	2.492675
0.008667	2.484100	2.352797	1.406979	2.528139	-1.497919	1782.193941	1.406979	2.528139
0.009000	2.529721	2.362924	1.406979	2.497741	-0.272349	1795.543291	1.406979	2.497741
0.009333	2.544928	2.362924	1.401907	2.492675	0.136175	1795.543291	1.401907	2.492675
0.009667	2.514514	2.362924	1.412051	2.492675	-0.680872	1795.543291	1.412051	2.492675
0.010000	2.534790	2.378114	1.391763	2.477476	-0.136174	1815.567316	1.391763	2.477476
0.010333	2.514514	2.367987	1.381620	2.487608	-0.680872	1802.217966	1.381620	2.487608
0.010667	2.524652	2.362924	1.396835	2.497741	-0.408523	1795.543291	1.396835	2.497741
0.011000	2.524652	2.347733	1.396835	2.512940	-0.408523	1775.519266	1.396835	2.512940
0.011333	2.504376	2.362924	1.386691	2.507873	-0.953221	1795.543291	1.386691	2.507873
0.011667	2.534790	2.352797	1.406979	2.502807	-0.136174	1782.193941	1.406979	2.502807
0.012000	2.544928	2.362924	1.396835	2.487608	0.136175	1795.543291	1.396835	2.487608
0.012333	2.499307	2.367987	1.391763	2.512940	-1.089396	1802.217966	1.391763	2.512940
0.012667	2.539859	2.362924	1.401907	2.497741	0.000000	1795.543291	1.401907	2.497741
0.013000	2.549997	2.362924	1.401907	2.507873	0.272349	1795.543291	1.401907	2.507873
0.013333	2.519583	2.337606	1.386691	2.482542	-0.544698	1762.169916	1.386691	2.482542
0.013667	2.539859	2.373051	1.396835	2.462277	0.000000	1808.892641	1.396835	2.462277
0.014000	2.524652	2.357860	1.401907	2.477476	-0.408523	1788.868616	1.401907	2.477476
0.014333	2.509445	2.352797	1.406979	2.497741	-0.817047	1782.193941	1.406979	2.497741
0.014667	2.519583	2.337606	1.412051	2.502807	-0.544698	1762.169916	1.412051	2.502807
0.015000	2.534790	2.362924	1.396835	2.497741	-0.136174	1795.543291	1.396835	2.497741
0.015333	2.544928	2.357860	1.396835	2.497741	0.136175	1788.868616	1.396835	2.497741
0.015667	2.544928	2.367987	1.391763	2.477476	0.136175	1802.217966	1.391763	2.477476
0.016000	2.514514	2.373051	1.401907	2.497741	-0.680872	1808.892641	1.401907	2.497741
0.016333	2.514514	2.362924	1.401907	2.502807	-0.680872	1795.543291	1.401907	2.502807
0.016667	2.549997	2.352797	1.401907	2.487608	0.272349	1782.193941	1.401907	2.487608
0.017000	2.549997	2.347733	1.401907	2.487608	0.272349	1775.519266	1.401907	2.487608
0.017333	2.539859	2.342670	1.401907	2.477476	0.000000	1768.844591	1.401907	2.477476
0.017667	2.524652	2.347733	1.396835	2.457210	-0.408523	1775.519266	1.396835	2.457210
0.018000	2.519583	2.352797	1.396835	2.477476	-0.544698	1782.193941	1.396835	2.477476
0.018333	2.514514	2.342670	1.401907	2.497741	-0.680872	1768.844591	1.401907	2.497741
0.018667	2.509445	2.357860	1.406979	2.512940	-0.817047	1788.868616	1.406979	2.512940
0.019000	2.539859	2.357860	1.396835	2.507873	0.000000	1788.868616	1.396835	2.507873
0.019333	2.544928	2.347733	1.406979	2.487608	0.136175	1775.519266	1.406979	2.487608
0.019667	2.514514	2.342670	1.386691	2.492675	-0.680872	1768.844591	1.386691	2.492675
0.020000	2.504376	2.342670	1.401907	2.502807	-0.953221	1768.844591	1.401907	2.502807
0.020333	2.539859	2.362924	1.396835	2.497741	0.000000	1795.543291	1.396835	2.497741
0.020667	2.544928	2.332543	1.401907	2.512940	0.136175	1755.495241	1.401907	2.512940
0.021000	2.555066	2.347733	1.406979	2.487608	0.408524	1775.519266	1.406979	2.487608
0.021333	2.534790	2.352797	1.396835	2.477476	-0.136174	1782.193941	1.396835	2.477476
0.021667	2.514514	2.342670	1.396835	2.482542	-0.680872	1768.844591	1.396835	2.482542
0.022000	2.519583	2.342670	1.391763	2.482542	-0.544698	1768.844591	1.391763	2.482542
0.022333	2.519583	2.352797	1.412051	2.502807	-0.544698	1782.193941	1.412051	2.502807
0.022667	2.509445	2.337606	1.401907	2.512940	-0.817047	1762.169916	1.401907	2.512940
0.023000	2.570273	2.352797	1.396835	2.477476	0.817047	1782.193941	1.396835	2.477476
0.023333	2.509445	2.357860	1.396835	2.502807	-0.817047	1788.868616	1.396835	2.502807
0.023667	2.514514	2.342670	1.412051	2.507873	-0.680872	1768.844591	1.412051	2.507873
0.024000	2.529721	2.362924	1.396835	2.492675	-0.272349	1795.543291	1.396835	2.492675
0.024333	2.544928	2.352797	1.396835	2.502807	0.136175	1782.193941	1.396835	2.502807
0.024667	2.539859	2.342670	1.396835	2.487608	0.000000	1768.844591	1.396835	2.487608
0.025000	2.555066	2.342670	1.417122	2.482542	0.408524	1768.844591	1.417122	2.482542
0.025333	2.524652	2.362924	1.391763	2.477476	-0.408523	1795.543291	1.391763	2.477476
0.025667	2.539859	2.327479	1.412051	2.487608	0.000000	1748.820566	1.412051	2.487608
0.026000	2.524652	2.352797	1.381620	2.492675	-0.408523	1782.193941	1.381620	2.492675
0.026333	2.509445	2.342670	1.386691	2.502807	-0.817047	1768.844591	1.386691	2.502807
0.026667	2.549997	2.337606	1.412051	2.497741	0.272349	1762.169916	1.412051	2.497741
0.027000	2.529721	2.327479	1.412051	2.492675	-0.272349	1748.820566	1.412051	2.492675
0.027333	2.509445	2.337606	1.412051	2.487608	-0.817047	1762.169916	1.412051	2.487608
0.027667	2.519583	2.337606	1.406979	2.502807	-0.544698	1762.169916	1.406979	2.502807
0.028000	2.514514	2.347733	1.417122	2.507873	-0.680872	1775.519266	1.417122	2.507873
0.028333	2.544928	2.352797	1.406979	2.512940	0.136175	1782.193941	1.406979	2.512940
0.028667	2.534790	2.352797	1.386691	2.482542	-0.136174	1782.193941	1.386691	2.482542
0.029000	2.549997	2.352797	1.406979	2.472409	0.272349	1782.193941	1.406979	2.472409
0.029333	2.539859	2.373051	1.412051	2.482542	0.000000	1808.892641	1.412051	2.482542
0.029667	2.534790	2.357860	1.396835	2.467343	-0.136174	1788.868616	1.396835	2.467343
0.030000	2.534790	2.352797	1.386691	2.462277	-0.136174	1782.193941	1.386691	2.462277
0.030333	2.489169	2.352797	1.396835	2.507873	-1.361745	1782.193941	1.396835	2.507873
0.030667	2.549997	2.342670	1.406979	2.477476	0.272349	1768.844591	1.406979	2.477476
0.031000	2.534790	2.332543	1.396835	2.482542	-0.136174	1755.495241	1.396835	2.482542
0.031333	2.534790	2.342670	1.412051	2.477476	-0.136174	1768.844591	1.412051	2.477476
0.031667	2.514514	2.342670	1.401907	2.487608	-0.680872	1768.844591	1.401907	2.487608
0.032000	2.514514	2.367987	1.401907	2.482542	-0.680872	1802.217966	1.401907	2.482542
0.032333	2.524652	2.352797	1.401907	2.492675	-0.408523	1782.193941	1.401907	2.492675
0.032667	2.534790	2.347733	1.401907	2.507873	-0.136174	1775.519266	1.401907	2.507873
0.033000	2.534790	2.337606	1.401907	2.492675	-0.136174	1762.169916	1.401907	2.492675
0.033333	2.544928	2.337606	1.412051	2.492675	0.136175	1762.169916	1.412051	2.492675
0.033667	2.519583	2.352797	1.391763	2.472409	-0.544698	1782.193941	1.391763	2.472409
0.034000	2.519583	2.357860	1.401907	2.507873	-0.544698	1788.868616	1.401907	2.507873
0.034333	2.560135	2.352797	1.401907	2.502807	0.544698	1782.193941	1.401907	2.502807
0.034667	2.544928	2.337606	1.401907	2.492675	0.136175	1762.169916	1.401907	2.492675
0.035000	2.519583	2.367987	1.406979	2.472409	-0.544698	1802.217966	1.406979	2.472409
0.035333	2.529721	2.352797	1.406979	2.472409	-0.272349	1782.193941	1.406979	2.472409
0.035667	2.524652	2.342670	1.396835	2.482542	-0.408523	1768.844591	1.396835	2.482542
0.036000	2.514514	2.342670	1.401907	2.497741	-0.680872	1768.844591	1.401907	2.497741
0.036333	2.534790	2.373051	1.381620	2.518006	-0.136174	1808.892641	1.381620	2.518006
0.036667	2.555066	2.342670	1.406979	2.497741	0.408524	1768.844591	1.406979	2.497741
0.037000	2.549997	2.352797	1.391763	2.492675	0.272349	1782.193941	1.391763	2.492675
0.037333	2.529721	2.357860	1.401907	2.482542	-0.272349	1788.868616	1.401907	2.482542
0.037667	2.519583	2.367987	1.386691	2.523072	-0.544698	1802.217966	1.386691	2.523072
0.038000	2.534790	2.327479	1.396835	2.512940	-0.136174	1748.820566	1.396835	2.512940
0.038333	2.544928	2.352797	1.412051	2.492675	0.136175	1782.193941	1.412051	2.492675
0.038667	2.534790	2.352797	1.391763	2.482542	-0.136174	1782.193941	1.391763	2.482542
0.039000	2.529721	2.362924	1.401907	2.477476	-0.272349	1795.543291	1.401907	2.477476
0.039333	2.529721	2.337606	1.406979	2.482542	-0.272349	1762.169916	1.406979	2.482542
0.039667	2.524652	2.362924	1.396835	2.497741	-0.408523	1795.543291	1.396835	2.497741
0.040000	2.514514	2.362924	1.396835	2.502807	-0.680872	1795.543291	1.396835	2.502807
0.040333	2.529721	2.332543	1.401907	2.497741	-0.272349	1755.495241	1.401907	2.497741
0.040667	2.539859	2.373051	1.391763	2.492675	0.000000	1808.892641	1.391763	2.492675
0.041000	2.549997	2.352797	1.401907	2.467343	0.272349	1782.193941	1.401907	2.467343
0.041333	2.524652	2.357860	1.391763	2.518006	-0.408523	1788.868616	1.391763	2.518006
0.041667	2.534790	2.367987	1.391763	2.507873	-0.136174	1802.217966	1.391763	2.507873
0.042000	2.560135	2.347733	1.401907	2.477476	0.544698	1775.519266	1.401907	2.477476
0.042333	2.549997	2.332543	1.401907	2.487608	0.272349	1755.495241	1.401907	2.487608
0.042667	2.539859	2.347733	1.396835	2.482542	0.000000	1775.519266	1.396835	2.482542
0.043000	2.544928	2.357860	1.406979	2.462277	0.136175	1788.868616	1.406979	2.462277
0.043333	2.524652	2.347733	1.412051	2.492675	-0.408523	1775.519266	1.412051	2.492675
0.043667	2.514514	2.352797	1.391763	2.487608	-0.680872	1782.193941	1.391763	2.487608
0.044000	2.519583	2.352797	1.406979	2.502807	-0.544698	1782.193941	1.406979	2.502807
0.044333	2.539859	2.337606	1.401907	2.502807	0.000000	1762.169916	1.401907	2.502807
0.044667	2.539859	2.352797	1.406979	2.497741	0.000000	1782.193941	1.406979	2.497741
0.045000	2.514514	2.357860	1.386691	2.497741	-0.680872	1788.868616	1.386691	2.497741
0.045333	2.514514	2.362924	1.406979	2.507873	-0.680872	1795.543291	1.406979	2.507873
0.045667	2.539859	2.337606	1.396835	2.512940	0.000000	1762.169916	1.396835	2.512940
0.046000	2.555066	2.347733	1.412051	2.492675	0.408524	1775.519266	1.412051	2.492675
0.046333	2.534790	2.352797	1.381620	2.492675	-0.136174	1782.193941	1.381620	2.492675
0.046667	2.534790	2.362924	1.401907	2.477476	-0.136174	1795.543291	1.401907	2.477476
0.047000	2.529721	2.352797	1.391763	2.477476	-0.272349	1782.193941	1.391763	2.477476
0.047333	2.524652	2.327479	1.406979	2.492675	-0.408523	1748.820566	1.406979	2.492675
0.047667	2.524652	2.367987	1.396835	2.502807	-0.408523	1802.217966	1.396835	2.502807
0.048000	2.534790	2.357860	1.401907	2.507873	-0.136174	1788.868616	1.401907	2.507873
0.048333	2.529721	2.357860	1.391763	2.492675	-0.272349	1788.868616	1.391763	2.492675
0.048667	2.539859	2.357860	1.391763	2.497741	0.000000	1788.868616	1.391763	2.497741
0.049000	2.514514	2.362924	1.371476	2.512940	-0.680872	1795.543291	1.371476	2.512940
0.049333	2.529721	2.352797	1.396835	2.492675	-0.272349	1782.193941	1.396835	2.492675
0.049667	2.555066	2.357860	1.401907	2.487608	0.408524	1788.868616	1.401907	2.487608
0.050000	2.534790	2.367987	1.406979	2.497741	-0.136174	1802.217966	1.406979	2.497741
0.050333	2.524652	2.357860	1.391763	2.472409	-0.408523	1788.868616	1.391763	2.472409
0.050667	2.529721	2.357860	1.386691	2.467343	-0.272349	1788.868616	1.386691	2.467343
0.051000	2.499307	2.367987	1.391763	2.487608	-1.089396	1802.217966	1.391763	2.487608
0.051333	2.514514	2.342670	1.406979	2.497741	-0.680872	1768.844591	1.406979	2.497741
0.051667	2.504376	2.367987	1.401907	2.518006	-0.953221	1802.217966	1.401907	2.518006
0.052000	2.544928	2.367987	1.401907	2.497741	0.136175	1802.217966	1.401907	2.497741
0.052333	2.519583	2.373051	1.401907	2.462277	-0.544698	1808.892641	1.401907	2.462277
0.052667	2.524652	2.367987	1.412051	2.502807	-0.408523	1802.217966	1.412051	2.502807
0.053000	2.514514	2.352797	1.401907	2.512940	-0.680872	1782.193941	1.401907	2.512940
0.053333	2.539859	2.347733	1.391763	2.497741	0.000000	1775.519266	1.391763	2.497741
0.053667	2.549997	2.367987	1.401907	2.492675	0.272349	1802.217966	1.401907	2.492675
0.054000	2.534790	2.357860	1.391763	2.477476	-0.136174	1788.868616	1.391763	2.477476
0.054333	2.519583	2.352797	1.401907	2.482542	-0.544698	1782.193941	1.401907	2.482542
0.054667	2.539859	2.332543	1.406979	2.477476	0.000000	1755.495241	1.406979	2.477476
0.055000	2.514514	2.362924	1.406979	2.497741	-0.680872	1795.543291	1.406979	2.497741
0.055333	2.509445	2.337606	1.401907	2.487608	-0.817047	1762.169916	1.401907	2.487608
0.055667	2.514514	2.367987	1.406979	2.497741	-0.680872	1802.217966	1.406979	2.497741
0.056000	2.514514	2.332543	1.401907	2.467343	-0.680872	1755.495241	1.401907	2.467343
0.056333	2.529721	2.347733	1.401907	2.487608	-0.272349	1775.519266	1.401907	2.487608
0.056667	2.509445	2.352797	1.412051	2.502807	-0.817047	1782.193941	1.412051	2.502807
0.057000	2.514514	2.352797	1.396835	2.497741	-0.680872	1782.193941	1.396835	2.497741
0.057333	2.534790	2.332543	1.396835	2.502807	-0.136174	1755.495241	1.396835	2.502807
0.057667	2.544928	2.362924	1.401907	2.502807	0.136175	1795.543291	1.401907	2.502807
0.058000	2.534790	2.337606	1.406979	2.492675	-0.136174	1762.169916	1.406979	2.492675
0.058333	2.544928	2.342670	1.406979	2.477476	0.136175	1768.844591	1.406979	2.477476
0.058667	2.529721	2.373051	1.396835	2.472409	-0.272349	1808.892641	1.396835	2.472409
0.059000	2.504376	2.342670	1.412051	2.482542	-0.953221	1768.844591	1.412051	2.482542
0.059333	2.504376	2.352797	1.417122	2.512940	-0.953221	1782.193941	1.417122	2.512940
0.059667	2.534790	2.367987	1.396835	2.487608	-0.136174	1802.217966	1.396835	2.487608
0.060000	2.519583	2.337606	1.412051	2.477476	-0.544698	1762.169916	1.412051	2.477476
0.060333	2.519583	2.352797	1.406979	2.492675	-0.544698	1782.193941	1.406979	2.492675
0.060667	2.524652	2.347733	1.401907	2.492675	-0.408523	1775.519266	1.401907	2.492675
0.061000	2.489169	2.352797	1.412051	2.502807	-1.361745	1782.193941	1.412051	2.502807
0.061333	2.529721	2.362924	1.401907	2.502807	-0.272349	1795.543291	1.401907	2.502807
0.061667	2.539859	2.337606	1.406979	2.507873	0.000000	1762.169916	1.406979	2.507873
0.062000	2.524652	2.347733	1.401907	2.497741	-0.408523	1775.519266	1.401907	2.497741
0.062333	2.539859	2.337606	1.406979	2.472409	0.000000	1762.169916	1.406979	2.472409
0.062667	2.529721	2.332543	1.406979	2.497741	-0.272349	1755.495241	1.406979	2.497741
0.063000	2.494238	2.357860	1.401907	2.512940	-1.225570	1788.868616	1.401907	2.512940
0.063333	2.549997	2.367987	1.401907	2.502807	0.272349	1802.217966	1.401907	2.502807
0.063667	2.544928	2.347733	1.406979	2.467343	0.136175	1775.519266	1.406979	2.467343
0.064000	2.529721	2.367987	1.401907	2.482542	-0.272349	1802.217966	1.401907	2.482542
0.064333	2.534790	2.357860	1.412051	2.472409	-0.136174	1788.868616	1.412051	2.472409
0.064667	2.519583	2.357860	1.391763	2.487608	-0.544698	1788.868616	1.391763	2.487608
0.065000	2.509445	2.347733	1.401907	2.512940	-0.817047	1775.519266	1.401907	2.512940
0.065333	2.529721	2.357860	1.412051	2.502807	-0.272349	1788.868616	1.412051	2.502807
0.065667	2.544928	2.332543	1.391763	2.502807	0.136175	1755.495241	1.391763	2.502807
0.066000	2.534790	2.357860	1.406979	2.487608	-0.136174	1788.868616	1.406979	2.487608
0.066333	2.544928	2.373051	1.406979	2.482542	0.136175	1808.892641	1.406979	2.482542
0.066667	2.519583	2.352797	1.396835	2.518006	-0.544698	1782.193941	1.396835	2.518006
0.067000	2.529721	2.342670	1.406979	2.497741	-0.272349	1768.844591	1.406979	2.497741
0.067333	2.555066	2.367987	1.417122	2.502807	0.408524	1802.217966	1.417122	2.502807
0.067667	2.544928	2.352797	1.391763	2.472409	0.136175	1782.193941	1.391763	2.472409
0.068000	2.534790	2.352797	1.401907	2.467343	-0.136174	1782.193941	1.401907	2.467343
0.068333	2.524652	2.342670	1.401907	2.482542	-0.408523	1768.844591	1.401907	2.482542
0.068667	2.529721	2.362924	1.396835	2.477476	-0.272349	1795.543291	1.396835	2.477476
0.069000	2.524652	2.347733	1.396835	2.512940	-0.408523	1775.519266	1.396835	2.512940
0.069333	2.514514	2.352797	1.401907	2.512940	-0.680872	1782.193941	1.401907	2.512940
0.069667	2.529721	2.347733	1.401907	2.502807	-0.272349	1775.519266	1.401907	2.502807
0.070000	2.544928	2.332543	1.412051	2.502807	0.136175	1755.495241	1.412051	2.502807
0.070333	2.524652	2.337606	1.401907	2.502807	-0.408523	1762.169916	1.401907	2.502807
0.070667	2.524652	2.352797	1.391763	2.512940	-0.408523	1782.193941	1.391763	2.512940
0.071000	2.544928	2.347733	1.391763	2.492675	0.136175	1775.519266	1.391763	2.492675
0.071333	2.549997	2.362924	1.412051	2.492675	0.272349	1795.543291	1.412051	2.492675
0.071667	2.539859	2.362924	1.401907	2.467343	0.000000	1795.543291	1.401907	2.467343
0.072000	2.529721	2.337606	1.406979	2.487608	-0.272349	1762.169916	1.406979	2.487608
0.072333	2.534790	2.332543	1.406979	2.472409	-0.136174	1755.495241	1.406979	2.472409
0.072667	2.514514	2.352797	1.401907	2.497741	-0.680872	1782.193941	1.401907	2.497741
0.073000	2.519583	2.347733	1.406979	2.492675	-0.544698	1775.519266	1.406979	2.492675
