5/2/2015
1:42:59 PM

0, CH+=0, CH-=199, Range=+/-10, y=a*26.8643-68.1-.131533
1, CH+=1, CH-=199, Range=+/-10, y=b*1318.19-1319.239
2, CH+=2, CH-=199, Range=+/-10, y=c
3, CH+=3, CH-=199, Range=+/-10, y=d


Time	v0	v1	v2	v3	y0	y1	y2	y3
0.000000	2.504376	1.243887	1.396835	2.507873	-0.953221	320.440107	1.396835	2.507873
0.000333	2.519583	1.243887	1.406979	2.512940	-0.544698	320.440107	1.406979	2.512940
0.000667	2.549997	1.238823	1.401907	2.492675	0.272349	313.765431	1.401907	2.492675
0.001000	2.565204	1.243887	1.396835	2.472409	0.680873	320.440107	1.396835	2.472409
0.001333	2.519583	1.248950	1.412051	2.502807	-0.544698	327.114782	1.412051	2.502807
0.001667	2.529721	1.243887	1.396835	2.507873	-0.272349	320.440107	1.396835	2.507873
0.002000	2.534790	1.254014	1.406979	2.497741	-0.136174	333.789457	1.406979	2.497741
0.002333	2.555066	1.254014	1.406979	2.492675	0.408524	333.789457	1.406979	2.492675
0.002667	2.544928	1.243887	1.386691	2.497741	0.136175	320.440107	1.386691	2.497741
0.003000	2.544928	1.248950	1.396835	2.487608	0.136175	327.114782	1.396835	2.487608
0.003333	2.524652	1.238823	1.412051	2.477476	-0.408523	313.765431	1.412051	2.477476
0.003667	2.529721	1.243887	1.401907	2.482542	-0.272349	320.440107	1.401907	2.482542
0.004000	2.539859	1.248950	1.386691	2.472409	0.000000	327.114782	1.386691	2.472409
0.004333	2.519583	1.248950	1.401907	2.502807	-0.544698	327.114782	1.401907	2.502807
0.004667	2.539859	1.254014	1.406979	2.482542	0.000000	333.789457	1.406979	2.482542
0.005000	2.534790	1.248950	1.396835	2.472409	-0.136174	327.114782	1.396835	2.472409
0.005333	2.519583	1.233760	1.401907	2.477476	-0.544698	307.090756	1.401907	2.477476
0.005667	2.509445	1.238823	1.401907	2.502807	-0.817047	313.765431	1.401907	2.502807
0.006000	2.519583	1.248950	1.401907	2.507873	-0.544698	327.114782	1.401907	2.507873
0.006333	2.529721	1.243887	1.412051	2.507873	-0.272349	320.440107	1.412051	2.507873
0.006667	2.544928	1.248950	1.391763	2.492675	0.136175	327.114782	1.391763	2.492675
0.007000	2.549997	1.254014	1.396835	2.502807	0.272349	333.789457	1.396835	2.502807
0.007333	2.534790	1.233760	1.396835	2.477476	-0.136174	307.090756	1.396835	2.477476
0.007667	2.534790	1.243887	1.401907	2.467343	-0.136174	320.440107	1.401907	2.467343
0.008000	2.534790	1.238823	1.401907	2.482542	-0.136174	313.765431	1.401907	2.482542
0.008333	2.514514	1.233760	1.406979	2.507873	-0.680872	307.090756	1.406979	2.507873
0.008667	2.544928	1.248950	1.412051	2.482542	0.136175	327.114782	1.412051	2.482542
0.009000	2.529721	1.248950	1.376548	2.467343	-0.272349	327.114782	1.376548	2.467343
0.009333	2.534790	1.264141	1.401907	2.467343	-0.136174	347.138807	1.401907	2.467343
0.009667	2.534790	1.238823	1.371476	2.472409	-0.136174	313.765431	1.371476	2.472409
0.010000	2.519583	1.259077	1.401907	2.502807	-0.544698	340.464132	1.401907	2.502807
0.010333	2.519583	1.248950	1.396835	2.512940	-0.544698	327.114782	1.396835	2.512940
0.010667	2.529721	1.254014	1.391763	2.487608	-0.272349	333.789457	1.391763	2.487608
0.011000	2.544928	1.243887	1.391763	2.492675	0.136175	320.440107	1.391763	2.492675
