5/2/2015
1:33:54 PM

0, CH+=0, CH-=199, Range=+/-10, y=a*26.8643-68.1-.131533
1, CH+=1, CH-=199, Range=+/-10, y=b*1318.19-1319.239
2, CH+=2, CH-=199, Range=+/-10, y=c
3, CH+=3, CH-=199, Range=+/-10, y=d


Time	v0	v1	v2	v3	y0	y1	y2	y3
0.000000	2.524652	1.907207	1.412051	2.507873	-0.408523	1194.822537	1.412051	2.507873
0.000333	2.565204	1.902144	1.406979	2.477476	0.680873	1188.147862	1.406979	2.477476
0.000667	2.529721	1.907207	1.386691	2.477476	-0.272349	1194.822537	1.386691	2.477476
0.001000	2.519583	1.907207	1.406979	2.487608	-0.544698	1194.822537	1.406979	2.487608
0.001333	2.524652	1.897080	1.401907	2.487608	-0.408523	1181.473187	1.401907	2.487608
0.001667	2.519583	1.897080	1.401907	2.507873	-0.544698	1181.473187	1.401907	2.507873
0.002000	2.534790	1.897080	1.406979	2.507873	-0.136174	1181.473187	1.406979	2.507873
0.002333	2.544928	1.907207	1.406979	2.487608	0.136175	1194.822537	1.406979	2.487608
0.002667	2.555066	1.897080	1.391763	2.492675	0.408524	1181.473187	1.391763	2.492675
0.003000	2.539859	1.892017	1.396835	2.477476	0.000000	1174.798512	1.396835	2.477476
0.003333	2.529721	1.917334	1.401907	2.467343	-0.272349	1208.171887	1.401907	2.467343
0.003667	2.539859	1.897080	1.396835	2.492675	0.000000	1181.473187	1.396835	2.492675
0.004000	2.549997	1.897080	1.386691	2.487608	0.272349	1181.473187	1.386691	2.487608
0.004333	2.534790	1.912271	1.386691	2.477476	-0.136174	1201.497212	1.386691	2.477476
0.004667	2.534790	1.907207	1.406979	2.477476	-0.136174	1194.822537	1.406979	2.477476
0.005000	2.529721	1.892017	1.391763	2.472409	-0.272349	1174.798512	1.391763	2.472409
0.005333	2.519583	1.917334	1.391763	2.482542	-0.544698	1208.171887	1.391763	2.482542
0.005667	2.514514	1.902144	1.401907	2.502807	-0.680872	1188.147862	1.401907	2.502807
0.006000	2.524652	1.897080	1.401907	2.507873	-0.408523	1181.473187	1.401907	2.507873
0.006333	2.519583	1.912271	1.396835	2.507873	-0.544698	1201.497212	1.396835	2.507873
0.006667	2.539859	1.902144	1.406979	2.502807	0.000000	1188.147862	1.406979	2.502807
0.007000	2.534790	1.917334	1.391763	2.497741	-0.136174	1208.171887	1.391763	2.497741
0.007333	2.549997	1.917334	1.412051	2.457210	0.272349	1208.171887	1.412051	2.457210
