,CH1,CH2
Second,Volt,Volt
-3.00000e-03,8.00e-02,-4.00e-02, 
-2.99000e-03,3.20e-01,-4.00e-02, 
-2.98000e-03,3.40e-01,-4.00e-02, 
-2.97000e-03,5.20e-01,-2.00e-02, 
-2.96000e-03,5.40e-01,-4.00e-02, 
-2.95000e-03,7.00e-01,-6.00e-02, 
-2.94000e-03,7.20e-01,-4.00e-02, 
-2.93000e-03,8.60e-01,-4.00e-02, 
-2.92000e-03,8.80e-01,-4.00e-02, 
-2.91000e-03,9.60e-01,-4.00e-02, 
-2.90000e-03,9.80e-01,-4.00e-02, 
-2.89000e-03,1.00e+00,-6.00e-02, 
-2.88000e-03,9.80e-01,-4.00e-02, 
-2.87000e-03,1.00e+00,-4.00e-02, 
-2.86000e-03,9.80e-01,-4.00e-02, 
-2.85000e-03,8.80e-01,-2.00e-02, 
-2.84000e-03,8.60e-01,-4.00e-02, 
-2.83000e-03,7.40e-01,-2.00e-02, 
-2.82000e-03,7.40e-01,-4.00e-02, 
-2.81000e-03,5.60e-01,-2.00e-02, 
-2.80000e-03,5.40e-01,-4.00e-02, 
-2.79000e-03,3.40e-01,-2.00e-02, 
-2.78000e-03,3.40e-01,-2.00e-02, 
-2.77000e-03,1.20e-01,-2.00e-02, 
-2.76000e-03,8.00e-02,-2.00e-02, 
-2.75000e-03,-1.40e-01,-4.00e-02, 
-2.74000e-03,-1.60e-01,-2.00e-02, 
-2.73000e-03,-3.60e-01,-2.00e-02, 
-2.72000e-03,-3.80e-01,-2.00e-02, 
-2.71000e-03,-5.60e-01,-2.00e-02, 
-2.70000e-03,-6.00e-01,-2.00e-02, 
-2.69000e-03,-7.40e-01,-2.00e-02, 
-2.68000e-03,-7.60e-01,-2.00e-02, 
-2.67000e-03,-8.80e-01,-2.00e-02, 
-2.66000e-03,-8.80e-01,-2.00e-02, 
-2.65000e-03,-9.60e-01,-2.00e-02, 
-2.64000e-03,-9.60e-01,-2.00e-02, 
-2.63000e-03,-9.40e-01,-2.00e-02, 
-2.62000e-03,-9.60e-01,-2.00e-02, 
-2.61000e-03,-8.80e-01,-2.00e-02, 
-2.60000e-03,-8.80e-01,-2.00e-02, 
-2.59000e-03,-8.00e-01,-2.00e-02, 
-2.58000e-03,-7.80e-01,-2.00e-02, 
-2.57000e-03,-6.20e-01,-4.00e-02, 
-2.56000e-03,-6.00e-01,-2.00e-02, 
-2.55000e-03,-4.20e-01,-4.00e-02, 
-2.54000e-03,-4.00e-01,-2.00e-02, 
-2.53000e-03,-1.80e-01,-4.00e-02, 
-2.52000e-03,-1.60e-01,-4.00e-02, 
-2.51000e-03,6.00e-02,-2.00e-02, 
-2.50000e-03,8.00e-02,-4.00e-02, 
-2.49000e-03,2.80e-01,-4.00e-02, 
-2.48000e-03,3.20e-01,-4.00e-02, 
-2.47000e-03,5.20e-01,-2.00e-02, 
-2.46000e-03,5.40e-01,-4.00e-02, 
-2.45000e-03,7.00e-01,-4.00e-02, 
-2.44000e-03,7.20e-01,-4.00e-02, 
-2.43000e-03,8.40e-01,-4.00e-02, 
-2.42000e-03,8.60e-01,-4.00e-02, 
-2.41000e-03,9.60e-01,-6.00e-02, 
-2.40000e-03,9.60e-01,-4.00e-02, 
-2.39000e-03,1.00e+00,-6.00e-02, 
-2.38000e-03,1.00e+00,-4.00e-02, 
-2.37000e-03,9.60e-01,-2.00e-02, 
-2.36000e-03,9.60e-01,-6.00e-02, 
-2.35000e-03,8.80e-01,-2.00e-02, 
-2.34000e-03,8.80e-01,-4.00e-02, 
-2.33000e-03,7.40e-01,-2.00e-02, 
-2.32000e-03,7.40e-01,-2.00e-02, 
-2.31000e-03,5.40e-01,-4.00e-02, 
-2.30000e-03,5.40e-01,-4.00e-02, 
-2.29000e-03,3.60e-01,-2.00e-02, 
-2.28000e-03,3.40e-01,-2.00e-02, 
-2.27000e-03,1.20e-01,-2.00e-02, 
-2.26000e-03,1.00e-01,-2.00e-02, 
-2.25000e-03,-1.40e-01,-4.00e-02, 
-2.24000e-03,-1.60e-01,-2.00e-02, 
-2.23000e-03,-3.80e-01,-2.00e-02, 
-2.22000e-03,-3.80e-01,-2.00e-02, 
-2.21000e-03,-5.60e-01,-2.00e-02, 
-2.20000e-03,-6.00e-01,-2.00e-02, 
-2.19000e-03,-7.40e-01,-2.00e-02, 
-2.18000e-03,-7.40e-01,-2.00e-02, 
-2.17000e-03,-8.80e-01,-2.00e-02, 
-2.16000e-03,-8.80e-01,-2.00e-02, 
-2.15000e-03,-9.60e-01,-2.00e-02, 
-2.14000e-03,-9.60e-01,-2.00e-02, 
-2.13000e-03,-9.60e-01,-2.00e-02, 
-2.12000e-03,-9.60e-01,-2.00e-02, 
-2.11000e-03,-8.80e-01,-2.00e-02, 
-2.10000e-03,-8.80e-01,-2.00e-02, 
-2.09000e-03,-8.00e-01,-2.00e-02, 
-2.08000e-03,-7.60e-01,-2.00e-02, 
-2.07000e-03,-6.20e-01,-2.00e-02, 
-2.06000e-03,-6.00e-01,-2.00e-02, 
-2.05000e-03,-4.20e-01,-2.00e-02, 
-2.04000e-03,-4.20e-01,-2.00e-02, 
-2.03000e-03,-1.80e-01,-4.00e-02, 
-2.02000e-03,-1.60e-01,-4.00e-02, 
-2.01000e-03,6.00e-02,-2.00e-02, 
-2.00000e-03,8.00e-02,-4.00e-02, 
-1.99000e-03,3.00e-01,-2.00e-02, 
-1.98000e-03,3.20e-01,-2.00e-02, 
-1.97000e-03,5.20e-01,-6.00e-02, 
-1.96000e-03,5.40e-01,-4.00e-02, 
-1.95000e-03,7.00e-01,-2.00e-02, 
-1.94000e-03,7.20e-01,-4.00e-02, 
-1.93000e-03,8.60e-01,-6.00e-02, 
-1.92000e-03,8.60e-01,-4.00e-02, 
-1.91000e-03,9.60e-01,-4.00e-02, 
-1.90000e-03,9.60e-01,-4.00e-02, 
-1.89000e-03,1.00e+00,-6.00e-02, 
-1.88000e-03,9.80e-01,-4.00e-02, 
-1.87000e-03,1.00e+00,-2.00e-02, 
-1.86000e-03,9.80e-01,-4.00e-02, 
-1.85000e-03,8.80e-01,-2.00e-02, 
-1.84000e-03,8.80e-01,-4.00e-02, 
-1.83000e-03,7.60e-01,-2.00e-02, 
-1.82000e-03,7.20e-01,-4.00e-02, 
-1.81000e-03,5.60e-01,-2.00e-02, 
-1.80000e-03,5.40e-01,-4.00e-02, 
-1.79000e-03,3.20e-01,-2.00e-02, 
-1.78000e-03,3.20e-01,-4.00e-02, 
-1.77000e-03,1.20e-01,-2.00e-02, 
-1.76000e-03,8.00e-02,-2.00e-02, 
-1.75000e-03,-1.40e-01,-4.00e-02, 
-1.74000e-03,-1.60e-01,-2.00e-02, 
-1.73000e-03,-3.80e-01,-2.00e-02, 
-1.72000e-03,-3.80e-01,-2.00e-02, 
-1.71000e-03,-5.80e-01,-4.00e-02, 
-1.70000e-03,-6.00e-01,-2.00e-02, 
-1.69000e-03,-7.60e-01,-2.00e-02, 
-1.68000e-03,-7.60e-01,-2.00e-02, 
-1.67000e-03,-8.80e-01,-2.00e-02, 
-1.66000e-03,-8.80e-01,-2.00e-02, 
-1.65000e-03,-9.60e-01,-2.00e-02, 
-1.64000e-03,-9.60e-01,-2.00e-02, 
-1.63000e-03,-9.20e-01,-2.00e-02, 
-1.62000e-03,-9.60e-01,-2.00e-02, 
-1.61000e-03,-9.00e-01,-2.00e-02, 
-1.60000e-03,-8.80e-01,-2.00e-02, 
-1.59000e-03,-7.80e-01,-4.00e-02, 
-1.58000e-03,-7.60e-01,-2.00e-02, 
-1.57000e-03,-6.20e-01,-2.00e-02, 
-1.56000e-03,-6.00e-01,-2.00e-02, 
-1.55000e-03,-4.40e-01,-2.00e-02, 
-1.54000e-03,-4.00e-01,-4.00e-02, 
-1.53000e-03,-1.80e-01,-2.00e-02, 
-1.52000e-03,-1.60e-01,-2.00e-02, 
-1.51000e-03,6.00e-02,-4.00e-02, 
-1.50000e-03,8.00e-02,-4.00e-02, 
-1.49000e-03,3.00e-01,-2.00e-02, 
-1.48000e-03,3.40e-01,-4.00e-02, 
-1.47000e-03,5.20e-01,-6.00e-02, 
-1.46000e-03,5.40e-01,-4.00e-02, 
-1.45000e-03,7.00e-01,-6.00e-02, 
-1.44000e-03,7.20e-01,-4.00e-02, 
-1.43000e-03,8.60e-01,-4.00e-02, 
-1.42000e-03,8.80e-01,-6.00e-02, 
-1.41000e-03,9.60e-01,-2.00e-02, 
-1.40000e-03,9.80e-01,-4.00e-02, 
-1.39000e-03,1.00e+00,-6.00e-02, 
-1.38000e-03,1.00e+00,-2.00e-02, 
-1.37000e-03,9.60e-01,-4.00e-02, 
-1.36000e-03,9.60e-01,-4.00e-02, 
-1.35000e-03,9.00e-01,-2.00e-02, 
-1.34000e-03,8.80e-01,-4.00e-02, 
