,CH1,CH2
Second,Volt,Volt
-6.00000e-02,4.00e-02,-5.60e-01, 
-5.98000e-02,2.60e-01,-4.60e-01, 
-5.96000e-02,3.00e-01,-4.40e-01, 
-5.94000e-02,5.00e-01,-3.20e-01, 
-5.92000e-02,5.40e-01,-3.00e-01, 
-5.90000e-02,7.00e-01,-1.60e-01, 
-5.88000e-02,7.20e-01,-1.60e-01, 
-5.86000e-02,8.60e-01,0.00e+00, 
-5.84000e-02,8.60e-01,2.00e-02, 
-5.82000e-02,9.60e-01,1.60e-01, 
-5.80000e-02,9.60e-01,1.80e-01, 
-5.78000e-02,1.00e+00,3.20e-01, 
-5.76000e-02,9.80e-01,3.20e-01, 
-5.74000e-02,1.02e+00,4.20e-01, 
-5.72000e-02,9.80e-01,4.40e-01, 
-5.70000e-02,9.00e-01,5.20e-01, 
-5.68000e-02,8.80e-01,5.40e-01, 
-5.66000e-02,7.60e-01,5.80e-01, 
-5.64000e-02,7.60e-01,6.00e-01, 
-5.62000e-02,5.80e-01,6.20e-01, 
-5.60000e-02,5.60e-01,6.20e-01, 
-5.58000e-02,3.60e-01,5.80e-01, 
-5.56000e-02,3.60e-01,5.80e-01, 
-5.54000e-02,1.20e-01,5.20e-01, 
-5.52000e-02,8.00e-02,5.40e-01, 
-5.50000e-02,-1.20e-01,4.40e-01, 
-5.48000e-02,-1.40e-01,4.20e-01, 
-5.46000e-02,-3.60e-01,3.40e-01, 
-5.44000e-02,-3.80e-01,3.00e-01, 
-5.42000e-02,-5.80e-01,2.00e-01, 
-5.40000e-02,-5.80e-01,1.60e-01, 
-5.38000e-02,-7.40e-01,2.00e-02, 
-5.36000e-02,-7.40e-01,0.00e+00, 
-5.34000e-02,-8.80e-01,-1.60e-01, 
-5.32000e-02,-8.80e-01,-1.60e-01, 
-5.30000e-02,-9.60e-01,-3.20e-01, 
-5.28000e-02,-9.60e-01,-3.00e-01, 
-5.26000e-02,-9.40e-01,-4.40e-01, 
-5.24000e-02,-9.60e-01,-4.60e-01, 
-5.22000e-02,-9.20e-01,-5.60e-01, 
-5.20000e-02,-8.80e-01,-5.80e-01, 
-5.18000e-02,-8.00e-01,-6.40e-01, 
-5.16000e-02,-7.80e-01,-6.60e-01, 
-5.14000e-02,-6.40e-01,-6.80e-01, 
-5.12000e-02,-6.00e-01,-6.80e-01, 
-5.10000e-02,-4.40e-01,-6.60e-01, 
-5.08000e-02,-4.20e-01,-6.80e-01, 
-5.06000e-02,-2.20e-01,-6.60e-01, 
-5.04000e-02,-2.00e-01,-6.40e-01, 
-5.02000e-02,4.00e-02,-5.80e-01, 
-5.00000e-02,4.00e-02,-5.60e-01, 
-4.98000e-02,3.00e-01,-4.60e-01, 
-4.96000e-02,3.20e-01,-4.40e-01, 
-4.94000e-02,5.00e-01,-3.20e-01, 
-4.92000e-02,5.40e-01,-3.00e-01, 
-4.90000e-02,7.00e-01,-1.60e-01, 
-4.88000e-02,7.20e-01,-1.60e-01, 
-4.86000e-02,8.60e-01,0.00e+00, 
-4.84000e-02,8.60e-01,0.00e+00, 
-4.82000e-02,9.60e-01,1.60e-01, 
-4.80000e-02,9.80e-01,1.80e-01, 
-4.78000e-02,9.80e-01,3.00e-01, 
-4.76000e-02,1.00e+00,3.40e-01, 
-4.74000e-02,9.80e-01,4.20e-01, 
-4.72000e-02,9.80e-01,4.40e-01, 
-4.70000e-02,9.00e-01,5.20e-01, 
-4.68000e-02,8.80e-01,5.20e-01, 
-4.66000e-02,7.60e-01,5.80e-01, 
-4.64000e-02,7.40e-01,5.80e-01, 
-4.62000e-02,6.00e-01,6.20e-01, 
-4.60000e-02,5.60e-01,6.20e-01, 
-4.58000e-02,3.60e-01,5.80e-01, 
-4.56000e-02,3.40e-01,5.80e-01, 
-4.54000e-02,1.40e-01,5.40e-01, 
-4.52000e-02,1.00e-01,5.40e-01, 
-4.50000e-02,-1.00e-01,4.40e-01, 
-4.48000e-02,-1.40e-01,4.20e-01, 
-4.46000e-02,-3.60e-01,3.20e-01, 
-4.44000e-02,-3.80e-01,3.00e-01, 
-4.42000e-02,-5.60e-01,1.80e-01, 
-4.40000e-02,-6.00e-01,1.60e-01, 
-4.38000e-02,-7.40e-01,2.00e-02, 
-4.36000e-02,-7.40e-01,2.00e-02, 
-4.34000e-02,-8.60e-01,-1.40e-01, 
-4.32000e-02,-8.80e-01,-1.60e-01, 
-4.30000e-02,-9.40e-01,-3.00e-01, 
-4.28000e-02,-9.60e-01,-3.20e-01, 
-4.26000e-02,-9.60e-01,-4.40e-01, 
-4.24000e-02,-9.60e-01,-4.40e-01, 
