,CH1,CH2
Second,Volt,Volt
-1.20000e-02,1.00e-01,-1.80e-01, 
-1.19600e-02,3.00e-01,-1.60e-01, 
-1.19200e-02,3.40e-01,-1.60e-01, 
-1.18800e-02,5.20e-01,-1.80e-01, 
-1.18400e-02,5.40e-01,-1.60e-01, 
-1.18000e-02,7.20e-01,-1.80e-01, 
-1.17600e-02,7.20e-01,-1.80e-01, 
-1.17200e-02,8.60e-01,-1.40e-01, 
-1.16800e-02,8.80e-01,-1.60e-01, 
-1.16400e-02,9.60e-01,-1.40e-01, 
-1.16000e-02,9.60e-01,-1.40e-01, 
-1.15600e-02,1.00e+00,-8.00e-02, 
-1.15200e-02,1.00e+00,-1.00e-01, 
-1.14800e-02,9.60e-01,-6.00e-02, 
-1.14400e-02,9.80e-01,-6.00e-02, 
-1.14000e-02,8.80e-01,-2.00e-02, 
-1.13600e-02,8.80e-01,-2.00e-02, 
-1.13200e-02,7.60e-01,0.00e+00, 
-1.12800e-02,7.20e-01,0.00e+00, 
-1.12400e-02,5.40e-01,6.00e-02, 
-1.12000e-02,5.40e-01,4.00e-02, 
-1.11600e-02,3.40e-01,6.00e-02, 
-1.11200e-02,3.40e-01,6.00e-02, 
-1.10800e-02,1.20e-01,1.00e-01, 
-1.10400e-02,6.00e-02,8.00e-02, 
-1.10000e-02,-1.40e-01,1.00e-01, 
-1.09600e-02,-1.60e-01,1.00e-01, 
-1.09200e-02,-3.80e-01,1.20e-01, 
-1.08800e-02,-4.00e-01,1.20e-01, 
-1.08400e-02,-6.00e-01,1.00e-01, 
-1.08000e-02,-6.00e-01,1.20e-01, 
-1.07600e-02,-7.40e-01,1.00e-01, 
-1.07200e-02,-7.40e-01,1.00e-01, 
-1.06800e-02,-8.80e-01,6.00e-02, 
-1.06400e-02,-8.80e-01,8.00e-02, 
-1.06000e-02,-9.60e-01,6.00e-02, 
-1.05600e-02,-9.60e-01,6.00e-02, 
-1.05200e-02,-9.40e-01,2.00e-02, 
-1.04800e-02,-9.60e-01,2.00e-02, 
-1.04400e-02,-9.00e-01,-2.00e-02, 
-1.04000e-02,-8.80e-01,-2.00e-02, 
-1.03600e-02,-7.80e-01,-6.00e-02, 
-1.03200e-02,-7.60e-01,-6.00e-02, 
-1.02800e-02,-6.20e-01,-8.00e-02, 
-1.02400e-02,-6.00e-01,-8.00e-02, 
-1.02000e-02,-4.20e-01,-1.40e-01, 
-1.01600e-02,-4.00e-01,-1.20e-01, 
-1.01200e-02,-2.00e-01,-1.60e-01, 
-1.00800e-02,-1.60e-01,-1.60e-01, 
-1.00400e-02,8.00e-02,-1.40e-01, 
-1.00000e-02,1.00e-01,-1.60e-01, 
-9.96000e-03,3.00e-01,-1.80e-01, 
-9.92000e-03,3.40e-01,-1.80e-01, 
-9.88000e-03,5.20e-01,-1.60e-01, 
-9.84000e-03,5.40e-01,-1.80e-01, 
-9.80000e-03,7.20e-01,-1.60e-01, 
-9.76000e-03,7.20e-01,-1.60e-01, 
-9.72000e-03,8.60e-01,-1.60e-01, 
-9.68000e-03,8.80e-01,-1.60e-01, 
-9.64000e-03,9.60e-01,-1.40e-01, 
-9.60000e-03,9.80e-01,-1.20e-01, 
-9.56000e-03,1.00e+00,-8.00e-02, 
-9.52000e-03,1.00e+00,-8.00e-02, 
-9.48000e-03,9.60e-01,-6.00e-02, 
-9.44000e-03,9.80e-01,-6.00e-02, 
-9.40000e-03,8.80e-01,-2.00e-02, 
-9.36000e-03,8.60e-01,-2.00e-02, 
-9.32000e-03,7.40e-01,0.00e+00, 
-9.28000e-03,7.20e-01,0.00e+00, 
-9.24000e-03,5.60e-01,4.00e-02, 
-9.20000e-03,5.40e-01,6.00e-02, 
-9.16000e-03,3.40e-01,4.00e-02, 
-9.12000e-03,3.20e-01,6.00e-02, 
-9.08000e-03,1.20e-01,8.00e-02, 
-9.04000e-03,8.00e-02,8.00e-02, 
-9.00000e-03,-1.60e-01,1.20e-01, 
-8.96000e-03,-1.80e-01,1.20e-01, 
-8.92000e-03,-3.80e-01,1.00e-01, 
-8.88000e-03,-4.00e-01,1.20e-01, 
-8.84000e-03,-6.00e-01,1.00e-01, 
-8.80000e-03,-6.00e-01,1.00e-01, 
-8.76000e-03,-7.60e-01,1.20e-01, 
-8.72000e-03,-7.80e-01,1.00e-01, 
-8.68000e-03,-8.80e-01,8.00e-02, 
-8.64000e-03,-8.80e-01,8.00e-02, 
-8.60000e-03,-9.60e-01,6.00e-02, 
-8.56000e-03,-9.60e-01,6.00e-02, 
-8.52000e-03,-9.40e-01,2.00e-02, 
-8.48000e-03,-9.60e-01,2.00e-02, 
-8.44000e-03,-8.80e-01,-2.00e-02, 
-8.40000e-03,-8.80e-01,-2.00e-02, 
-8.36000e-03,-7.80e-01,-6.00e-02, 
-8.32000e-03,-7.40e-01,-6.00e-02, 
-8.28000e-03,-6.00e-01,-8.00e-02, 
-8.24000e-03,-6.00e-01,-8.00e-02, 
-8.20000e-03,-4.00e-01,-1.20e-01, 
-8.16000e-03,-3.80e-01,-1.20e-01, 
-8.12000e-03,-2.00e-01,-1.60e-01, 
-8.08000e-03,-1.60e-01,-1.60e-01, 
-8.04000e-03,6.00e-02,-1.60e-01, 
-8.00000e-03,8.00e-02,-1.60e-01, 
-7.96000e-03,3.40e-01,-1.80e-01, 
-7.92000e-03,3.40e-01,-1.60e-01, 
-7.88000e-03,5.20e-01,-1.80e-01, 
-7.84000e-03,5.40e-01,-1.60e-01, 
-7.80000e-03,7.00e-01,-2.00e-01, 
-7.76000e-03,7.20e-01,-1.80e-01, 
-7.72000e-03,8.60e-01,-1.60e-01, 
-7.68000e-03,8.80e-01,-1.60e-01, 
-7.64000e-03,9.60e-01,-1.40e-01, 
-7.60000e-03,9.60e-01,-1.20e-01, 
