3517350295.179000	0.694168	2.828767	781.416084
3517350295.198000	0.250582	2.828767	774.654487
3517350295.229000	-0.193004	2.833831	781.416084
3517350295.257000	0.250582	2.828767	788.177681
3517350295.292000	0.694168	2.828767	774.654487
3517350295.335000	0.694168	2.833831	774.654487
3517350295.349000	0.398444	2.828767	781.416084
3517350295.369000	2.172789	2.590782	761.131294
3517350295.387000	4.242857	2.261653	767.892890
3517350295.404000	4.538582	2.246463	761.131294
3517350295.437000	3.503547	2.256590	761.131294
3517350295.464000	4.686444	2.241399	767.892890
3517350295.480000	4.538582	2.246463	754.369697
3517350295.512000	4.242857	2.246463	747.608100
3517350295.562000	5.130030	2.251526	754.369697
3517350295.578000	4.538582	2.251526	740.846504
3517350295.595000	3.799271	2.246463	740.846504
3517350295.610000	4.390720	2.241399	740.846504
3517350295.626000	4.834306	2.261653	734.084907
3517350295.642000	4.538582	2.246463	720.561713
3517350295.658000	4.242857	2.241399	740.846504
3517350295.674000	4.390720	2.251526	734.084907
3517350295.690000	4.242857	2.246463	740.846504
3517350295.704000	4.094995	2.246463	734.084907
3517350295.720000	4.686444	2.241399	720.561713
3517350295.750000	4.538582	2.246463	734.084907
3517350295.767000	4.242857	2.241399	727.323310
3517350295.782000	4.686444	2.246463	727.323310
3517350295.797000	4.390720	2.236336	713.800117
3517350295.813000	3.799271	2.251526	727.323310
3517350295.829000	4.390720	2.246463	720.561713
3517350295.844000	4.094995	2.241399	713.800117
3517350295.871000	4.094995	2.241399	720.561713
3517350295.887000	3.947133	2.251526	720.561713
3517350295.903000	3.947133	2.246463	707.038520
3517350295.918000	4.242857	2.241399	720.561713
3517350295.934000	4.538582	2.251526	707.038520
3517350295.950000	4.538582	2.241399	693.515327
3517350295.989000	3.947133	2.231272	713.800117
3517350296.005000	4.686444	2.236336	707.038520
3517350296.022000	4.094995	2.236336	707.038520
3517350296.056000	4.538582	2.241399	693.515327
3517350296.094000	4.242857	2.236336	686.753730
3517350296.117000	4.094995	2.236336	700.276923
3517350296.154000	3.947133	2.241399	679.992133
3517350296.183000	4.686444	2.246463	686.753730
3517350296.196000	4.390720	2.231272	686.753730
3517350296.212000	4.538582	2.236336	686.753730
3517350296.223000	4.834306	2.226209	686.753730
3517350296.236000	4.538582	2.241399	679.992133
3517350296.257000	4.242857	2.236336	673.230536
3517350296.269000	4.390720	2.231272	666.468940
3517350296.300000	4.242857	2.231272	673.230536
3517350296.309000	4.686444	2.226209	666.468940
3517350296.333000	4.242857	2.226209	673.230536
3517350296.344000	4.390720	2.231272	666.468940
3517350296.359000	4.390720	2.231272	673.230536
3517350296.371000	4.242857	2.221145	673.230536
3517350296.398000	4.242857	2.221145	673.230536
3517350296.412000	4.094995	2.231272	659.707343
3517350296.427000	3.947133	2.231272	666.468940
3517350296.442000	4.242857	2.216082	673.230536
3517350296.457000	4.538582	2.216082	666.468940
3517350296.471000	3.947133	2.226209	659.707343
3517350296.486000	3.799271	2.221145	659.707343
3517350296.521000	4.390720	2.221145	646.184150
3517350296.534000	3.799271	2.216082	646.184150
3517350296.560000	4.242857	2.226209	652.945746
3517350296.574000	4.094995	2.226209	659.707343
3517350296.588000	4.390720	2.216082	646.184150
3517350296.617000	4.242857	2.231272	652.945746
3517350296.632000	4.242857	2.216082	646.184150
3517350296.645000	4.390720	2.211018	652.945746
3517350296.661000	4.094995	2.216082	639.422553
3517350296.677000	3.651409	2.221145	639.422553
3517350296.705000	4.538582	2.216082	639.422553
3517350296.724000	4.390720	2.211018	639.422553
3517350296.758000	4.242857	2.226209	639.422553
3517350296.799000	4.094995	2.211018	625.899360
3517350296.817000	3.947133	2.211018	632.660956
3517350296.836000	4.094995	2.211018	619.137763
3517350296.851000	3.799271	2.216082	619.137763
3517350296.883000	4.094995	2.205955	612.376166
3517350296.897000	4.242857	2.211018	619.137763
3517350296.913000	4.094995	2.211018	625.899360
3517350296.928000	3.947133	2.205955	619.137763
3517350296.960000	4.094995	2.211018	612.376166
3517350297.001000	4.538582	2.205955	619.137763
3517350297.026000	4.538582	2.195828	619.137763
3517350297.050000	4.242857	2.200891	605.614569
3517350297.093000	4.242857	2.211018	605.614569
3517350297.112000	3.651409	2.205955	598.852973
3517350297.129000	4.242857	2.200891	598.852973
3517350297.145000	4.094995	2.200891	592.091376
3517350297.162000	4.094995	2.205955	592.091376
3517350297.178000	4.094995	2.200891	592.091376
3517350297.237000	4.094995	2.205955	585.329779
3517350297.251000	4.242857	2.200891	592.091376
3517350297.269000	3.799271	2.195828	592.091376
3517350297.302000	4.242857	2.200891	585.329779
3517350297.313000	4.390720	2.195828	585.329779
3517350297.330000	4.538582	2.195828	578.568183
3517350297.349000	4.538582	2.195828	578.568183
3517350297.379000	4.390720	2.185701	578.568183
3517350297.391000	4.242857	2.190764	585.329779
3517350297.410000	4.094995	2.200891	578.568183
3517350297.442000	1.285617	2.413559	585.329779
3517350297.455000	0.546306	2.813576	578.568183
3517350297.473000	0.250582	2.849021	585.329779
3517350297.517000	0.546306	2.859148	585.329779
3517350297.528000	0.102720	2.869275	585.329779
3517350297.548000	0.546306	2.869275	578.568183
3517350297.560000	0.694168	2.869275	585.329779
3517350297.575000	0.102720	2.869275	578.568183
3517350297.587000	0.694168	2.879402	585.329779
3517350297.601000	0.250582	2.874339	585.329779
3517350297.613000	-0.045142	2.879402	578.568183
3517350297.633000	0.694168	2.879402	571.806586
3517350297.697000	-0.045142	2.884466	585.329779
3517350297.715000	0.398444	2.894593	578.568183
3517350297.743000	0.398444	2.899656	578.568183
