,CH1,CH2
Second,Volt,Volt
-6.48000e-01,3.40e-01,2.80e-01, 
-6.44000e-01,4.00e-01,3.40e-01, 
-6.40000e-01,4.00e-01,3.40e-01, 
-6.36000e-01,4.80e-01,4.20e-01, 
-6.32000e-01,5.40e-01,4.80e-01, 
-6.28000e-01,6.40e-01,5.60e-01, 
-6.24000e-01,7.00e-01,6.20e-01, 
-6.20000e-01,7.60e-01,7.00e-01, 
-6.16000e-01,7.60e-01,6.80e-01, 
-6.12000e-01,8.60e-01,7.80e-01, 
-6.08000e-01,8.40e-01,7.80e-01, 
-6.04000e-01,9.00e-01,8.40e-01, 
-6.00000e-01,9.20e-01,8.60e-01, 
-5.96000e-01,9.60e-01,9.00e-01, 
-5.92000e-01,1.00e+00,9.20e-01, 
-5.88000e-01,9.60e-01,9.40e-01, 
-5.84000e-01,9.80e-01,9.20e-01, 
-5.80000e-01,1.00e+00,9.40e-01, 
-5.76000e-01,1.00e+00,9.20e-01, 
-5.72000e-01,9.80e-01,9.40e-01, 
-5.68000e-01,9.40e-01,9.20e-01, 
-5.64000e-01,9.80e-01,8.80e-01, 
-5.60000e-01,9.40e-01,8.80e-01, 
-5.56000e-01,8.60e-01,8.00e-01, 
-5.52000e-01,8.60e-01,8.20e-01, 
-5.48000e-01,8.20e-01,7.60e-01, 
-5.44000e-01,7.60e-01,7.00e-01, 
-5.40000e-01,7.00e-01,6.60e-01, 
-5.36000e-01,7.20e-01,6.60e-01, 
-5.32000e-01,5.80e-01,5.20e-01, 
-5.28000e-01,5.60e-01,5.20e-01, 
-5.24000e-01,5.00e-01,4.60e-01, 
-5.20000e-01,4.20e-01,3.80e-01, 
-5.16000e-01,3.40e-01,3.00e-01, 
-5.12000e-01,2.60e-01,2.20e-01, 
-5.08000e-01,2.00e-01,1.40e-01, 
-5.04000e-01,2.00e-01,1.40e-01, 
-5.00000e-01,1.00e-01,6.00e-02, 
-4.96000e-01,2.00e-02,-2.00e-02, 
-4.92000e-01,-8.00e-02,-1.20e-01, 
-4.88000e-01,-1.60e-01,-2.00e-01, 
-4.84000e-01,-2.40e-01,-3.00e-01, 
-4.80000e-01,-2.40e-01,-3.00e-01, 
-4.76000e-01,-4.00e-01,-4.40e-01, 
-4.72000e-01,-3.80e-01,-4.40e-01, 
-4.68000e-01,-5.00e-01,-5.20e-01, 
-4.64000e-01,-5.40e-01,-6.00e-01, 
-4.60000e-01,-6.40e-01,-6.60e-01, 
-4.56000e-01,-6.60e-01,-7.20e-01, 
-4.52000e-01,-7.40e-01,-7.80e-01, 
-4.48000e-01,-7.40e-01,-8.00e-01, 
-4.44000e-01,-8.00e-01,-8.40e-01, 
-4.40000e-01,-8.20e-01,-8.80e-01, 
-4.36000e-01,-8.80e-01,-9.20e-01, 
-4.32000e-01,-8.80e-01,-9.40e-01, 
-4.28000e-01,-9.40e-01,-9.80e-01, 
-4.24000e-01,-9.20e-01,-9.80e-01, 
-4.20000e-01,-9.60e-01,-1.02e+00, 
-4.16000e-01,-9.60e-01,-1.02e+00, 
-4.12000e-01,-9.80e-01,-1.00e+00, 
-4.08000e-01,-9.60e-01,-1.00e+00, 
-4.04000e-01,-9.20e-01,-1.02e+00, 
-4.00000e-01,-9.40e-01,-9.80e-01, 
-3.96000e-01,-8.80e-01,-9.40e-01, 
-3.92000e-01,-8.80e-01,-9.40e-01, 
-3.88000e-01,-8.40e-01,-9.00e-01, 
-3.84000e-01,-8.00e-01,-8.60e-01, 
-3.80000e-01,-7.60e-01,-8.00e-01, 
-3.76000e-01,-7.00e-01,-7.60e-01, 
-3.72000e-01,-6.40e-01,-7.00e-01, 
-3.68000e-01,-6.40e-01,-7.00e-01, 
-3.64000e-01,-5.80e-01,-6.40e-01, 
-3.60000e-01,-5.20e-01,-5.80e-01, 
-3.56000e-01,-4.40e-01,-5.00e-01, 
-3.52000e-01,-3.80e-01,-4.20e-01, 
-3.48000e-01,-3.00e-01,-3.40e-01, 
-3.44000e-01,-2.80e-01,-3.40e-01, 
-3.40000e-01,-1.00e-01,-1.60e-01, 
-3.36000e-01,-1.00e-01,-1.60e-01, 
-3.32000e-01,-2.00e-02,-8.00e-02, 
-3.28000e-01,6.00e-02,0.00e+00, 
-3.24000e-01,1.40e-01,1.00e-01, 
-3.20000e-01,2.40e-01,1.80e-01, 
